severidade,sku,produto,problema
bloqueia,"LDS7899737911160","LAMP LED DICROICA GU10 MR16 STELLA 6W 450LM 3000K 36 STH8535/30","Peso de 100 kg parece grama cadastrada como quilo (seriam 100 g). Frete sairia absurdo"
ajuste,"LDS7899737911160","LAMP LED DICROICA GU10 MR16 STELLA 6W 450LM 3000K 36 STH8535/30","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"LAMBLB50W65KMDX","LAMPADA BULBO ALTA POTENCIA BIVOLT 50W 6.500K E27 MUNDILUX 100506","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"LAMBLB50W65KMDX","LAMPADA BULBO ALTA POTENCIA BIVOLT 50W 6.500K E27 MUNDILUX 100506","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"LAMBLB50W65KMDX","LAMPADA BULBO ALTA POTENCIA BIVOLT 50W 6.500K E27 MUNDILUX 100506","Sem descrição"
ajuste,"LAMBLB50W65KMDX","LAMPADA BULBO ALTA POTENCIA BIVOLT 50W 6.500K E27 MUNDILUX 100506","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"LAMBLB15W65KMDX","LAMPADA BULBO BIVOLT 15W 6.500K E27 MUNDILUX 100156","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"LAMBLB15W65KMDX","LAMPADA BULBO BIVOLT 15W 6.500K E27 MUNDILUX 100156","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"LAMBLB15W65KMDX","LAMPADA BULBO BIVOLT 15W 6.500K E27 MUNDILUX 100156","Sem descrição"
ajuste,"LAMBLB15W65KMDX","LAMPADA BULBO BIVOLT 15W 6.500K E27 MUNDILUX 100156","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"LAMBLB9W65KMDX","LAMPADA BULBO BIVOLT 9W 6.500K E27 MUNDILUX 100096","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"LAMBLB9W65KMDX","LAMPADA BULBO BIVOLT 9W 6.500K E27 MUNDILUX 100096","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"LAMBLB9W65KMDX","LAMPADA BULBO BIVOLT 9W 6.500K E27 MUNDILUX 100096","Sem descrição"
ajuste,"LAMBLB9W65KMDX","LAMPADA BULBO BIVOLT 9W 6.500K E27 MUNDILUX 100096","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"CJ1TM101TS4X2BCMLZ","MILUZ CONJUNTO 4X2 1 INTERRUPTOR TS E 1 TOMADA NBR 10A BRANCO S3B69030 SCHNEIDER","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"CJ1TM101TS4X2BCMLZ","MILUZ CONJUNTO 4X2 1 INTERRUPTOR TS E 1 TOMADA NBR 10A BRANCO S3B69030 SCHNEIDER","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"CJ1TM101TS4X2BCMLZ","MILUZ CONJUNTO 4X2 1 INTERRUPTOR TS E 1 TOMADA NBR 10A BRANCO S3B69030 SCHNEIDER","Sem descrição"
ajuste,"CJ1TM101TS4X2BCMLZ","MILUZ CONJUNTO 4X2 1 INTERRUPTOR TS E 1 TOMADA NBR 10A BRANCO S3B69030 SCHNEIDER","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"CJTM20A4X2BCMLZ","MILUZ CONJUNTO 4X2 1 TOMADA NBR 20A BRANCO S3B60350 SCHNEIDER","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"CJTM20A4X2BCMLZ","MILUZ CONJUNTO 4X2 1 TOMADA NBR 20A BRANCO S3B60350 SCHNEIDER","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"CJTM20A4X2BCMLZ","MILUZ CONJUNTO 4X2 1 TOMADA NBR 20A BRANCO S3B60350 SCHNEIDER","Sem descrição"
ajuste,"CJTM20A4X2BCMLZ","MILUZ CONJUNTO 4X2 1 TOMADA NBR 20A BRANCO S3B60350 SCHNEIDER","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"CJINT1TS4X2BCMLZ","MILUZ CONJUNTO 4X2 INTERRUPTOR 1TS BRANCO S3B62010 SCHNEIDER","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"CJINT1TS4X2BCMLZ","MILUZ CONJUNTO 4X2 INTERRUPTOR 1TS BRANCO S3B62010 SCHNEIDER","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"CJINT1TS4X2BCMLZ","MILUZ CONJUNTO 4X2 INTERRUPTOR 1TS BRANCO S3B62010 SCHNEIDER","Sem descrição"
ajuste,"CJINT1TS4X2BCMLZ","MILUZ CONJUNTO 4X2 INTERRUPTOR 1TS BRANCO S3B62010 SCHNEIDER","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"CJ4X2PL1BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 1 MOD BRANCA E SUPORTE S3B57210 SCHNEIDER","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"CJ4X2PL1BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 1 MOD BRANCA E SUPORTE S3B57210 SCHNEIDER","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"CJ4X2PL1BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 1 MOD BRANCA E SUPORTE S3B57210 SCHNEIDER","Sem descrição"
ajuste,"CJ4X2PL1BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 1 MOD BRANCA E SUPORTE S3B57210 SCHNEIDER","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"CJ4X2PL2BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 2 MOD BRANCA E SUPORTE S3B57220 SCHNEIDER","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"CJ4X2PL2BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 2 MOD BRANCA E SUPORTE S3B57220 SCHNEIDER","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"CJ4X2PL2BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 2 MOD BRANCA E SUPORTE S3B57220 SCHNEIDER","Sem descrição"
ajuste,"CJ4X2PL2BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 2 MOD BRANCA E SUPORTE S3B57220 SCHNEIDER","Nome todo em caixa alta: dificulta a leitura na vitrine"
bloqueia,"CJ4X2PL3BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 3 MOD BRANCA E SUPORTE S3B57230 SCHNEIDER","Sem peso cadastrado: o frete não tem como ser calculado"
bloqueia,"CJ4X2PL3BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 3 MOD BRANCA E SUPORTE S3B57230 SCHNEIDER","Dimensões incompletas: transportadora cobra por cubagem"
atrapalha,"CJ4X2PL3BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 3 MOD BRANCA E SUPORTE S3B57230 SCHNEIDER","Sem descrição"
ajuste,"CJ4X2PL3BCESUPMLZ","MILUZ CONJUNTO 4X2 PLACA 3 MOD BRANCA E SUPORTE S3B57230 SCHNEIDER","Nome todo em caixa alta: dificulta a leitura na vitrine"
